[INFO ] 2024-08-02 12:07:49.389 [main] SharedLogger - Producto{codigo='ABR00001', lista=3, moneda='Corriente', precio=49000.0}
[INFO ] 2024-08-02 12:07:49.395 [main] SharedLogger - Producto{codigo='ABR00001', lista=4, moneda='Corriente', precio=49000.0}
[INFO ] 2024-08-02 12:07:49.396 [main] SharedLogger - Producto{codigo='ABR00002', lista=3, moneda='Corriente', precio=49000.0}
[INFO ] 2024-08-02 12:07:49.396 [main] SharedLogger - Producto{codigo='ABR00002', lista=4, moneda='Corriente', precio=49000.0}
[INFO ] 2024-08-02 12:07:49.396 [main] SharedLogger - Producto{codigo='ABR00003', lista=3, moneda='Corriente', precio=149000.0}
[INFO ] 2024-08-02 12:07:49.396 [main] SharedLogger - Producto{codigo='ABR00003', lista=4, moneda='Corriente', precio=149000.0}
[INFO ] 2024-08-02 12:07:49.396 [main] SharedLogger - Producto{codigo='ABR00004  ', lista=3, moneda='Corriente', precio=149000.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00004  ', lista=4, moneda='Corriente', precio=149000.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00005', lista=3, moneda='Corriente', precio=12000.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00005', lista=4, moneda='Corriente', precio=8350.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00008', lista=3, moneda='Corriente', precio=4900.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00009', lista=3, moneda='Corriente', precio=4900.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00010', lista=4, moneda='Corriente', precio=1803.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00018', lista=3, moneda='Corriente', precio=9900.0}
[INFO ] 2024-08-02 12:07:49.397 [main] SharedLogger - Producto{codigo='ABR00018', lista=4, moneda='Corriente', precio=9900.0}
[INFO ] 2024-08-02 12:07:49.398 [main] SharedLogger - Producto{codigo='ABR00023', lista=3, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.398 [main] SharedLogger - Producto{codigo='ABR00023', lista=4, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.398 [main] SharedLogger - Producto{codigo='ABR00024', lista=3, moneda='Corriente', precio=13900.0}
[INFO ] 2024-08-02 12:07:49.398 [main] SharedLogger - Producto{codigo='ABR00024', lista=4, moneda='Corriente', precio=13900.0}
[INFO ] 2024-08-02 12:07:49.398 [main] SharedLogger - Producto{codigo='ABR00032', lista=3, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.399 [main] SharedLogger - Producto{codigo='ABR00032', lista=4, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.399 [main] SharedLogger - Producto{codigo='ABR00033', lista=3, moneda='Corriente', precio=7000.0}
[INFO ] 2024-08-02 12:07:49.399 [main] SharedLogger - Producto{codigo='ABR00033', lista=4, moneda='Corriente', precio=4828.0}
[INFO ] 2024-08-02 12:07:49.399 [main] SharedLogger - Producto{codigo='ABR00034', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.399 [main] SharedLogger - Producto{codigo='ABR00034', lista=4, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.400 [main] SharedLogger - Producto{codigo='ABR00035', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.400 [main] SharedLogger - Producto{codigo='ABR00035', lista=4, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.400 [main] SharedLogger - Producto{codigo='ABR00037', lista=3, moneda='Corriente', precio=6900.0}
[INFO ] 2024-08-02 12:07:49.400 [main] SharedLogger - Producto{codigo='ABR00037', lista=4, moneda='Corriente', precio=4235.0}
[INFO ] 2024-08-02 12:07:49.400 [main] SharedLogger - Producto{codigo='ABR00038', lista=3, moneda='Corriente', precio=6900.0}
[INFO ] 2024-08-02 12:07:49.401 [main] SharedLogger - Producto{codigo='ABR00038', lista=4, moneda='Corriente', precio=6900.0}
